	loss	lr	val_loss
0	-32230.31410361842	0.0010000000474974513	-39873.37105263158
1	-41160.22265625	0.0010000000474974513	-46235.681167763156
2	-48074.010238486844	0.0010000000474974513	-50460.22097039474
3	-50982.78811677632	0.0010000000474974513	-51769.506455592105
4	-51911.9734375	0.0010000000474974513	-52096.74975328947
5	-52139.77804276316	0.0010000000474974513	-52184.422409539475
6	-52199.61019736842	0.0010000000474974513	-52185.24292763158
7	-52208.56237664474	0.0010000000474974513	-52245.403125
8	-52261.04625822369	0.0010000000474974513	-52294.48211348684
9	-52302.70900493421	0.0010000000474974513	-52319.61077302632
10	-52323.75534539474	0.0010000000474974513	-52347.18030427631
11	-52354.10785361842	0.0010000000474974513	-52370.53721217105
12	-52371.551439144736	0.0010000000474974513	-52381.22339638158
13	-52381.68754111842	0.0010000000474974513	-52387.606578947365
14	-52388.17528782895	0.0010000000474974513	-52386.53429276316
15	-52381.632894736846	0.0010000000474974513	-52373.36632401316
16	-52369.896628289476	0.0010000000474974513	-52365.01467927632
17	-52363.78482730263	0.0010000000474974513	-52362.737294407896
18	-52363.3872944079	0.0010000000474974513	-52365.72668585526
19	-52367.64736842105	0.0010000000474974513	-52372.07409539474
20	-52375.50974506579	0.0010000000474974513	-52381.87228618421
21	-52384.26624177631	0.0010000000474974513	-52388.94243421053
22	-52390.98643092105	0.0010000000474974513	-52394.11245888158
23	-52394.42310855263	0.0010000000474974513	-52398.150164473685
24	-52399.15814144737	0.0010000000474974513	-52396.03708881579
25	-52398.34399671053	0.0010000000474974513	-52399.64938322368
26	-52393.597368421055	0.0010000000474974513	-52396.436143092105
27	-52395.20620888158	0.0010000000474974513	-52393.11315789474
28	-52392.543503289475	0.0010000000474974513	-52391.84732730263
29	-52391.929769736846	0.0010000000474974513	-52392.457689144736
30	-52393.0005756579	0.0010000000474974513	-52394.31274671053
31	-52395.106126644736	0.0010000000474974513	-52396.72072368421
32	-52397.53050986842	0.0010000000474974513	-52399.22388980263
33	-52399.94494243421	0.0010000000474974513	-52403.202014802635
34	-52403.77450657895	0.0010000000474974513	-52390.12808388158
35	-52395.49786184211	0.0010000000474974513	-52400.03708881579
36	-52397.34337993421	0.0010000000474974513	-52391.98972039474
37	-52389.75222039474	0.0010000000474974513	-52385.97405427632
38	-52384.994736842105	0.0010000000474974513	-52384.57956414474
39	-52386.95189144737	0.0010000000474974513	-52388.7025493421
40	-52389.66726973684	0.0010000000474974513	-52391.95670230263
41	-52393.31254111842	0.0010000000474974513	-52396.15361842105
42	-52397.558511513154	0.0010000000474974513	-52400.259991776315
43	-52401.21599506579	0.0010000000474974513	-52403.95374177631
44	-52404.61023848684	0.0010000000474974513	-52406.763898026315
45	-52407.449876644736	0.0010000000474974513	-52408.69247532895
46	-52409.18663651316	0.0010000000474974513	-52410.09111842105
47	-52410.232195723685	0.0010000000474974513	-52402.820476973684
48	-52408.54481907895	0.0010000000474974513	-52410.541611842105
49	-52403.39638157895	0.0010000000474974513	-52406.264268092105
50	-52391.51184210526	0.0010000000474974513	-52294.616652960525
51	-52332.62923519737	0.0010000000474974513	-52340.73046875
52	-52334.78046875	0.0010000000474974513	-52326.68811677631
53	-52326.572491776315	0.0010000000474974513	-52329.69572368421
54	-52334.421792763154	0.0010000000474974513	-52348.816118421055
55	-52355.22339638158	0.0010000000474974513	-52368.232072368424
56	-52374.24502467105	0.0010000000474974513	-52385.53791118421
57	-52390.119284539476	0.0010000000474974513	-52398.178330592105
58	-52401.13046875	0.0010000000474974513	-52406.09206414474
59	-52407.712541118424	0.0010000000474974513	-52410.2650493421
60	-52409.53429276316	0.0010000000474974513	-52407.77935855263
61	-52409.20337171053	0.0010000000474974513	-52409.17693256579
62	-52408.26064967105	0.0010000000474974513	-52406.362746710525
63	-52405.62816611842	0.0010000000474974513	-52403.716940789476
64	-52403.08523848684	0.0010000000474974513	-52403.66430921053
65	-52403.71377467105	0.0010000000474974513	-52404.075822368424
66	-52404.4720805921	0.0010000000474974513	-52405.43536184211
67	-52406.01574835526	0.0010000000474974513	-52405.34967105263
68	-52406.89486019737	0.0010000000474974513	-52408.59210526316
69	-52409.05505756579	0.0010000000474974513	-52410.011636513154
70	-52410.45476973684	0.0010000000474974513	-52411.32976973684
71	-52411.69798519737	0.0010000000474974513	-52412.43433388158
72	-52412.61837993421	0.0010000000474974513	-52413.01685855263
73	-52413.29971217105	0.0010000000474974513	-52413.59753289474
74	-52413.38893914474	0.0010000000474974513	-52414.0306743421
75	-52413.805222039475	0.0010000000474974513	-52413.592845394734
76	-52413.35608552631	0.0010000000474974513	-52413.325328947365
77	-52413.218667763154	0.0010000000474974513	-52413.076521381576
78	-52413.05797697369	0.0010000000474974513	-52413.10160361842
79	-52413.17002467105	0.0010000000474974513	-52413.36455592105
80	-52413.496998355266	0.0010000000474974513	-52413.77072368421
81	-52413.90777138158	0.0010000000474974513	-52414.15579769737
82	-52410.76069078947	0.0010000000474974513	-52413.78429276316
83	-52412.71825657895	0.0010000000474974513	-52410.65637335526
84	-52409.69181743421	0.0010000000474974513	-52407.934498355266
85	-52407.324136513154	0.0010000000474974513	-52406.43162006579
