	val_loss	loss	lr
0	70259.71726919935	199055.62581699347	0.0010000000474974513
1	55398.98805147059	59567.230443218956	0.0010000000474974513
2	52102.93979779412	53338.41153492647	0.0010000000474974513
3	51314.1800194036	51649.74448529412	0.0010000000474974513
4	50931.07261029412	51089.544117647056	0.0010000000474974513
5	50763.291819852944	50820.97937091503	0.0010000000474974513
6	50663.04667075163	50686.572099673205	0.0010000000474974513
7	50624.287760416664	50604.09722222222	0.0010000000474974513
8	50589.66740706699	50566.502272263075	0.0010000000474974513
9	50541.879646650326	50522.66173917484	0.0010000000474974513
10	50546.28571793301	50511.587648080065	0.0010000000474974513
11	50501.60720486111	50462.05055147059	0.0010000000474974513
12	50483.72286049837	50448.282398897056	0.0010000000474974513
13	50512.29401552288	50451.20774611928	0.0010000000474974513
14	50456.41904105392	50418.688853145424	0.0010000000474974513
15	50598.08348651961	50394.356745302284	0.0010000000474974513
16	53332.24200878268	53418.39945874183	0.0010000000474974513
17	51227.241319444445	51638.386744281044	0.0010000000474974513
18	50456.06538500817	50790.659773284315	0.0010000000474974513
19	49970.66189236111	50297.438010620914	0.0010000000474974513
20	49397.43395118464	49833.77803308824	0.0010000000474974513
21	49041.434946895424	49405.926598243466	0.0010000000474974513
22	48762.575010212415	49074.410666870914	0.0010000000474974513
23	48441.42307495915	48811.82973345588	0.0010000000474974513
24	48168.76498672386	48501.375868055555	0.0010000000474974513
25	48031.910258374184	48249.21880106209	0.0010000000474974513
26	47832.481132557186	48089.03293504902	0.0010000000474974513
27	47792.6243872549	48007.93834252451	0.0010000000474974513
28	47831.302900326795	47936.76485906863	0.0010000000474974513
29	47529.62431066176	47831.31158088235	0.0010000000474974513
30	47460.86956188725	47670.02246732026	0.0010000000474974513
31	47416.5228247549	47578.95317606209	0.0010000000474974513
32	47397.19942299837	47520.77895220588	0.0010000000474974513
33	47345.52149714052	47460.02999897876	0.0010000000474974513
34	47429.58162275327	47399.94362745098	0.0010000000474974513
35	47420.46239276961	47420.62745098039	0.0010000000474974513
36	47336.31178513072	47753.95404411765	0.0010000000474974513
37	47278.897135416664	47453.92795138889	0.0010000000474974513
38	47249.128395629086	47254.49902982026	0.0010000000474974513
39	47065.93859783497	47178.00140420752	0.0010000000474974513
40	47038.615962009804	47039.78349673202	0.0010000000474974513
41	46944.05828737745	46990.14075265523	0.0010000000474974513
42	46882.82521446078	46864.87037888072	0.0010000000474974513
43	46839.35881331699	46782.32227839052	0.0010000000474974513
44	46911.477226307186	46659.61351102941	0.0010000000474974513
45	46760.30805759804	46612.05001531863	0.0010000000474974513
46	47104.69122753268	46571.95138888889	0.0010000000474974513
47	46765.857613357846	46620.16970486111	0.0010000000474974513
48	46715.24213643791	46476.30992136438	0.0010000000474974513
49	46881.23138786765	46476.47993259804	0.0010000000474974513
50	46595.05956392974	46407.407526552284	0.0010000000474974513
51	46548.66574754902	46343.912709354576	0.0010000000474974513
52	46532.08468647876	46278.704886642154	0.0010000000474974513
53	46509.06076388889	46188.792866625816	0.0010000000474974513
54	46464.23445159314	46138.58139297386	0.0010000000474974513
55	47177.03663705065	46613.87295751634	0.0010000000474974513
56	46878.824601715685	46878.764756944445	0.0010000000474974513
57	46863.55867034314	46479.298866421566	0.0010000000474974513
