8.19581	-4.0002694	AB0281-C
-4.0670643	-12.044139	AB0282-C
8.208986	-3.6638439	AB0283-C
7.8664603	-4.210978	AB0284-C
9.164062	-1.6335398	AC0090-C
9.078482	-1.5915781	AC0091-C
8.891686	-1.6759592	AC0092-C
8.853777	-1.3301417	AC0093-C
8.989126	-1.5838228	AC0094-C
9.121597	-1.5321261	AC0095-C
8.975488	-1.4407946	AC0096-C
9.050738	-1.8694559	AC0097-C
8.797596	-1.3967577	AC0098-C
9.235673	-1.8243624	AC0099-C
9.466298	-1.6713396	AC0100-C
9.196879	-1.5236727	AC0101-C
9.160919	-1.870524	AC0102-C
9.1188545	-1.7845331	AC0103-C
9.425951	-1.5630556	AC0104-C
9.258478	-1.6116282	AC0106-C
9.064231	-1.6927134	AC0107-C
8.91671	-1.8834597	AC0108-C
9.130603	-1.6166865	AC0109-C
8.865064	-2.4435604	AC0110-C
8.94073	-1.2842776	AC0111-C
9.128889	-1.5390192	AC0112-C
9.027724	-1.7627932	AC0113-C
8.65925	-2.6682422	AC0114-C
8.9786005	-1.5849444	AC0115-C
8.954692	-2.147044	AC0116-C
9.255309	-1.5505091	AC0117-C
8.871078	-1.6442744	AC0118-C
9.139029	-1.6522547	AC0119-C
9.024036	-1.4768091	AC0120-C
9.153159	-1.8162943	AC0121-C
8.795615	-2.3151805	AC0122-C
9.139588	-1.8177019	AC0123-C
9.053945	-1.8063074	AC0124-C
9.094109	-1.5514666	AC0125-C
9.19808	-1.7773997	AC0126-C
9.067954	-1.5786539	AC0127-C
9.31678	-1.6788889	AC0128-C
9.10117	-1.724898	AC0129-C
8.961483	-1.469462	AC0130-C
9.098141	-1.5552737	AC0131-C
8.953853	-1.6089808	AC0132-C
8.843301	-1.5633188	AC0133-C
8.8019905	-1.3793551	AC0135-C
8.934378	-1.6136118	AC0136-C
9.142469	-1.5055948	AC0137-C
9.0643	-1.5287806	AC0138-C
9.151182	-1.6124674	AC0139-C
9.016517	-1.5448862	AC0140-C
8.87652	-2.5511005	AC0142-C
9.040767	-1.4370028	AC0143-C
9.199119	-1.9584681	AC0144-C
9.053806	-1.6049448	AC0145-C
8.876442	-2.6992595	AC0147-C
9.100629	-1.9577891	AC0148-C
9.056518	-1.4532534	AC0149-C
8.874048	-2.1343372	AC0150-C
9.180228	-1.8239123	AC0151-C
8.945929	-1.2820078	AC0152-C
8.816606	-1.6919161	AC0153-C
9.18001	-1.6971308	AC0154-C
9.169375	-1.6108462	AC0156-C
9.239146	-2.0107524	AC0158-C
9.162623	-1.6147066	AC0159-C
8.528388	-2.711726	AC0160-C
8.869048	-1.4971453	AC0161-C
9.083536	-1.574042	AC0162-C
9.067394	-1.7738291	AC0163-C
8.6707945	-3.0796878	AC0164-C
9.091871	-1.9928042	AC0166-C
9.169208	-1.8168856	AC0167-C
8.985197	-1.4917017	AC0168-C
9.084827	-1.5932642	AC0169-C
8.79368	-2.2009304	AC0170-C
8.828742	-1.5416476	AC0171-C
8.872011	-2.2031658	AC0172-C
8.990625	-1.7136408	AC0173-C
8.993118	-1.7090632	AC0174-C
8.913529	-1.1202341	AC0176-C
9.209358	-1.6903673	AC0178-C
8.923704	-1.4949633	AC0179-C
9.125677	-1.5199953	AC0180-C
9.183366	-1.9844233	AC0181-C
9.103068	-1.6350046	AC0182-C
8.754277	-2.7117183	AC0183-C
9.232113	-1.7212244	AC0184-C
9.073438	-1.5667177	AC0186-C
9.01424	-1.5230013	AC0187-C
9.177182	-1.7319056	AC0188-C
9.160041	-1.5696322	AC0189-C
8.835449	-2.2305858	AC0190-C
8.982432	-1.4743716	AC0191-C
8.922528	-1.3165194	AC0192-C
8.99705	-1.5948931	AC0193-C
8.72747	-2.8178737	AC0194-C
8.855636	-2.1375911	AC0195-C
9.056903	-1.888331	AC0196-C
9.099151	-1.6632334	AC0197-C
8.870181	-1.626002	AC0199-C
8.968805	-1.472304	AC0200-C
9.018971	-2.3812892	AC0201-C
8.589141	-2.744765	AC0202-C
8.95217	-1.6231829	AC0203-C
9.474167	2.2877438	AJ0023-C
10.524687	5.2110305	AJ0024-C
10.14373	5.31051	AJ0032-C
10.68519	5.186044	AJ0035-C
9.321764	2.229318	AJ0036-C
10.453166	4.2895026	AJ0039-C
9.450094	2.5006764	AJ0043-C
10.651451	5.1056533	AJ0044-C
9.401202	2.7726872	AJ0045-C
10.172715	5.5648894	AJ0047-C
10.288036	5.215238	AJ0051-C
9.701849	3.520429	AJ0052-C
10.200945	5.0688643	AJ0056-C
10.64952	5.108545	AJ0061-C
10.327022	4.967832	AJ0063-C
10.411801	5.421945	AJ0064-C
9.286755	1.7411703	AJ0066-C
8.676806	0.70446146	AJ0070-C
10.344499	5.4842277	AJ0071-C
9.950106	5.2171836	AJ0072-C
9.518756	2.4939244	AJ0074-C
11.199898	5.392175	AJ0075-C
10.682954	5.078935	AJ0076-C
10.376647	5.6067443	AJ0077-C
10.167531	5.509107	AJ0078-C
7.4770627	-0.68712103	AJ0081-C
10.132244	4.1663337	AJ0084-C
8.515264	0.9796003	AJ0085-C
9.506891	5.3903594	AJ0086-C
10.432488	5.5141807	AJ0088-C
9.622904	3.5413296	AJ0090-C
10.331577	5.431436	AJ0092-C
10.417084	4.8131957	AJ0093-C
10.17089	4.404943	AJ0096-C
10.245204	5.3039985	AJ0097-C
10.448042	4.4048743	AJ0098-C
9.581347	3.4962513	AJ0100-C
10.390243	5.335447	AJ0101-C
10.459426	5.6380134	AJ0102-C
10.491662	4.834863	AJ0103-C
9.508152	2.5330784	AJ0105-C
10.898598	5.1518493	AJ0107-C
10.0837555	5.474767	AJ0109-C
9.125207	1.1458334	AJ0113-C
9.995323	5.594072	AJ0115-C
10.120752	4.9914985	AJ0116-C
20.215725	24.809654	AK0065-C
21.97866	28.749222	AK0066-C
19.081358	23.440924	AK0067-C
22.965267	28.913702	AK0068-C
18.89479	23.463186	AK0069-C
24.707846	29.961672	AK0070-C
21.926483	27.992651	AK0072-C
28.859716	34.840843	AK0073-C
23.200602	29.107306	AK0074-C
21.693464	30.545473	AK0075-C
23.402506	29.351858	AK0076-C
23.188599	32.114788	AK0077-C
24.828445	31.0572	AK0078-C
23.141493	29.035017	AK0079-C
23.251839	29.180439	AK0080-C
28.444635	34.86643	AK0081-C
22.415543	30.094072	AK0082-C
26.8516	32.699806	AK0085-C
30.392124	37.71154	AK0086-C
26.806784	33.74724	AK0087-C
27.33625	33.659447	AK0088-C
27.754885	33.495823	AK0089-C
31.880737	38.38914	AK0090-C
29.173006	35.691776	AK0091-C
23.83744	30.073643	AK0092-C
26.62823	33.39924	AK0093-C
22.147404	28.76336	AK0094-C
