mean1	mean2	sd1	sd2	sampleID
-0.52783877	0.04537254	-1.7194614	0.1601391	HG00264
-0.5215623	0.07033663	-1.7544786	0.1963941	HG00265
-0.5722166	9.4822964e-05	-1.8284068	0.17591919	HG00266
-0.49638155	-0.07078225	-1.8130938	0.20641936	HG00267
-0.5365326	0.033578806	-1.8917589	0.2547785	HG00268
-0.4880356	-0.09385628	-1.6917989	0.11653162	HG00269
-0.5464023	0.017051272	-1.696321	0.11842919	HG00271
-0.53047544	0.11853927	-1.6621966	0.09263206	HG00272
-0.5204577	0.13368575	-1.7214956	0.21483482	HG00273
-0.5095857	-0.13485439	-1.4923415	-0.07795679	HG00274
-0.5405074	0.03236764	-1.7994837	0.20038559	HG00275
-0.51544815	-0.035423823	-1.7751034	0.18599309	HG00276
-0.4908252	0.068876915	-1.708597	0.15309478	HG00277
-0.5947532	0.092861705	-1.6150912	-0.033262007	HG00278
-0.49555698	0.06478398	-1.7448144	0.12027419	HG00280
-0.477945	0.0031185667	-1.7440206	0.19149114	HG00281
-0.47314695	-0.026992746	-1.744797	0.18894495	HG00282
-0.44838503	-0.015824743	-1.8477495	0.31102192	HG00284
-0.5580215	0.16869609	-1.7690823	0.1875359	HG00285
-0.52237374	0.046426825	-1.7919543	0.1683364	HG00288
-0.49060717	-0.038396306	-1.6860625	0.14025511	HG00290
-0.5492613	0.045593195	-1.5748268	0.05583466	HG00304
-0.52013177	-0.07220394	-1.8012387	0.17817177	HG00306
-0.5693545	0.13617162	-1.7616229	0.14371766	HG00308
-0.4877223	0.027357988	-1.7928777	0.2519431	HG00309
-0.5841467	0.22629325	-1.7666819	0.30060327	HG00310
-0.58954746	0.3161338	-1.749779	0.1963761	HG00311
-0.48731855	-0.0038186987	-1.841036	0.18323602	HG00313
-0.5064506	0.055234604	-1.6955134	0.18080868	HG00315
-0.49418178	0.18619971	-1.776849	0.2484044	HG00318
-0.5719748	0.17192881	-1.8420737	0.26082492	HG00319
-0.5598156	0.08951145	-1.9151664	0.2777462	HG00320
-0.5295188	-0.090323634	-1.8171548	0.17372145	HG00321
-0.48532072	-0.0061600883	-1.7953994	0.14754786	HG00323
-0.49775663	-0.07055218	-1.8292649	0.19805135	HG00324
-0.51197726	0.13141362	-1.7868011	0.15523447	HG00325
-0.4851115	0.060233645	-1.6724248	0.15638043	HG00326
-0.48347512	-0.10251207	-1.7085605	0.10399843	HG00327
-0.49545458	0.04209333	-1.7820096	0.23375572	HG00328
-0.50691444	0.079238586	-1.7308482	0.21318294	HG00329
-0.528586	-0.19423838	-1.7479736	0.041428216	HG00330
-0.54822916	-0.12943478	-1.8208834	0.12905349	HG00331
-0.56432146	0.05682283	-1.8944471	0.25138676	HG00332
-0.47047547	0.012180856	-1.8383356	0.30532765	HG00334
-0.49921444	0.04144817	-1.8728511	0.27085793	HG00335
-0.48670557	-0.05815465	-1.7902124	0.2044989	HG00336
-0.5378199	0.18675403	-1.7116231	0.17717482	HG00337
-0.54808694	0.021420889	-1.6660811	0.10613514	HG00338
-0.5308743	-0.10570104	-1.6405488	0.04398764	HG00339
-0.5635204	0.08364754	-1.8152201	0.17824472	HG00341
-0.4982039	0.018419199	-1.9320216	0.23045291	HG00342
-0.49340907	-0.023305245	-1.8394051	0.22701336	HG00343
-0.5611997	0.045912676	-1.800405	0.15428723	HG00344
-0.5435925	0.02293878	-1.7414336	0.12900259	HG00345
-0.48873332	0.054880075	-1.8245323	0.21451129	HG00346
-0.49189368	0.091328554	-1.7678041	0.20951809	HG00349
-0.5108606	0.10437363	-1.793413	0.26986694	HG00350
-0.52396244	0.005431227	-1.5991676	0.054293282	HG00351
-0.4784682	0.09396594	-1.7457552	0.19601454	HG00353
-0.46212772	0.18275444	-1.7033495	0.14902069	HG00355
-0.5878561	-0.046050854	-1.9276818	0.22655143	HG00356
-0.53468376	0.02283471	-1.7549673	0.116791375	HG00357
-0.4961008	0.13745134	-1.6851823	0.20581402	HG00358
-0.5363812	-0.050253935	-1.6006546	0.03642703	HG00360
-0.55888635	-0.0072884043	-1.6453438	0.0697043	HG00361
-0.4799315	0.056605034	-1.9246819	0.30992937	HG00362
-0.46687844	0.045645647	-1.9348329	0.39867818	HG00364
-0.5170612	0.085347466	-1.7840416	0.14891697	HG00365
-0.49613264	0.06779998	-1.8462963	0.28378892	HG00366
-0.5189602	0.13841788	-1.7926309	0.18400778	HG00367
-0.4675739	-0.027417965	-1.6979725	0.12063063	HG00368
-0.5378267	0.08447879	-1.7820296	0.22225489	HG00369
-0.5576362	0.18374579	-1.7472348	0.27137136	HG00371
-0.51148075	-0.023838349	-1.6916718	0.1419021	HG00372
-0.4791731	0.21132402	-2.0322356	0.4482833	HG00373
-0.5051959	0.06505149	-1.7679982	0.16325773	HG00375
-0.51329595	0.12061303	-1.728096	0.23259999	HG00376
-0.5534429	0.085535936	-1.6350129	0.08686913	HG00378
-0.48184052	-0.032637306	-1.7108102	0.17986394	HG00379
-0.63189656	0.14333515	-1.7815213	0.16154589	HG00380
-0.5144872	-0.04442794	-1.8086596	0.19355477	HG00381
-0.54649776	0.08942764	-1.5784814	0.08211172	HG00382
-0.5306793	0.0037358324	-1.6415243	0.06870688	HG00383
-0.54505986	-0.09055895	-1.7406065	0.1076218	HG00384
-0.51939636	-0.050840564	-1.6050112	0.05796004	HG00403
-0.41516462	-0.0014841041	-1.8758321	0.33625746	HG00404
-0.4802628	0.03387528	-1.766549	0.22300078	HG00406
-0.45332173	-0.021778889	-1.6880164	0.17208911	HG00407
-0.43447593	0.0019674818	-1.6586212	0.1932937	HG00409
-0.58832055	0.034394912	-1.5755919	0.014618525	HG00410
-0.6450725	0.087333374	-1.4662901	-0.09915768	HG00419
-0.4571232	-0.023735948	-1.5864012	0.05096353	HG00421
-0.6816644	-0.0063845594	-1.5534222	-0.10820567	HG00422
-0.4720774	-0.011008569	-1.6420164	0.13692714	HG00428
-0.55790466	-0.0061464985	-1.4682863	-0.112370126	HG00436
-0.5389661	0.0736553	-1.6186152	0.10333181	HG00437
-0.49422565	-0.027745314	-1.5465094	0.020867238	HG00442
-0.52589494	0.056490473	-1.6349962	0.108157285	HG00443
-0.5094456	0.03941744	-1.637151	0.13649632	HG00445
-0.52440685	-0.16408105	-1.7572799	0.10378326	HG00446
-0.51466566	-0.07026667	-1.667213	0.08888448	HG00448
-0.5337798	0.01987999	-1.8203045	0.19627704	HG00449
-0.6855417	0.32662517	-1.5450068	0.13765635	HG00451
-0.527934	-0.023145147	-1.5406277	0.015422115	HG00452
-0.58173376	0.13831834	-1.547337	0.01352931	HG00457
-0.48254004	-0.022509642	-1.7107536	0.15753056	HG00458
-0.41925827	-0.060021944	-1.7618737	0.19970395	HG00463
-0.50656635	0.103945546	-1.6637214	0.1952386	HG00464
-0.53242	0.05964356	-1.7357802	0.17166199	HG00472
-0.5037164	0.04379957	-1.7118747	0.18015446	HG00473
-0.5506218	0.26847678	-1.6002882	0.031862266	HG00475
-0.50210816	0.14439528	-1.7482831	0.20157053	HG00476
-0.5287753	-0.19602115	-1.526993	-0.10676526	HG00478
-0.5397523	0.02287238	-1.6223444	0.05272699	HG00479
-0.54930204	0.02872973	-1.3492991	-0.17120515	HG00500
-0.52426237	-0.03476412	-1.7554673	0.14559068	HG00513
-0.51315254	0.040622644	-1.678784	0.13394524	HG00524
-0.5054793	0.32886815	-1.155603	-0.113122694	HG00525
-0.5209922	0.09784775	-1.644137	0.11224354	HG00530
-0.46850196	-0.079387374	-1.6818602	0.06539906	HG00531
-0.46609166	-0.047412224	-1.6875043	0.106729396	HG00533
-0.38011637	-0.14859279	-1.781468	0.1564324	HG00534
-0.511234	-0.047979422	-1.7653847	0.11995972	HG00536
-0.5046311	0.084222846	-1.6790192	0.13945629	HG00537
-0.50082475	0.06071966	-1.7621187	0.24052967	HG00542
-0.5543718	-0.17635937	-1.6966469	0.017956862	HG00543
-0.48836783	0.02178555	-1.9155524	0.22777142	HG00551
-0.47782913	0.13769917	-1.7132094	0.20903994	HG00553
-0.48787454	0.17582493	-1.8228891	0.14166416	HG00554
-0.41302076	-0.057400294	-1.8510075	0.30082488	HG00556
-0.47951153	-0.06853003	-1.6360229	0.10565496	HG00557
-0.5081175	-0.12382955	-1.8390687	0.19245328	HG00559
-0.50459176	-0.06677515	-1.7012056	0.12049986	HG00560
-0.5026558	0.04905706	-1.8036034	0.20822014	HG00565
-0.5006241	-0.016813584	-1.7865516	0.16839232	HG00566
-0.500076	0.03349512	-1.751209	0.16627754	HG00580
-0.54909676	0.032903723	-1.7009566	0.09164978	HG00581
-0.58252996	0.11897903	-1.7228738	0.054837354	HG00583
-0.55925196	0.110800795	-1.5470946	0.035326965	HG00584
-0.5231282	0.09037345	-1.734035	0.11889256	HG00589
-0.5468188	-0.12695427	-1.7165594	-0.023616185	HG00590
-0.50639135	0.0020100395	-1.5325619	0.032925375	HG00592
-0.51248676	0.1547653	-1.7273002	0.23344971	HG00593
-0.50376946	0.041056566	-1.7123718	0.18275215	HG00595
-0.53020936	0.06571596	-1.7136914	0.14532389	HG00596
-0.5007004	0.12848358	-1.7593598	0.24632467	HG00598
-0.5023747	0.007357649	-1.6485612	0.09580577	HG00599
-0.549969	0.18172412	-1.5361196	0.064464815	HG00607
-0.5184054	0.016657405	-1.6854299	0.15188934	HG00608
-0.49880913	0.018645339	-1.6662729	0.08950139	HG00610
-0.51796633	0.02268546	-1.5131612	0.000522265	HG00611
-0.35597745	-0.00011403171	-1.7176185	0.13698758	HG00613
-0.45543113	-0.11798162	-1.6690792	0.02607287	HG00614
-0.46920553	0.06372898	-1.6836504	0.23782136	HG00619
